feature,importance,feature_type
species:Cubiceps sp.,0.24350348,taxonomic
species:Gonorynchus greyi,0.11757541,taxonomic
genus:Abudefduf,0.115509324,taxonomic
genus:Thunnus,0.08839581,taxonomic
species:Cirripectes randalli,0.06476073,taxonomic
genus:Cyclothone,0.047885515,taxonomic
genus:Trachurus,0.03461112,taxonomic
species:Hygophum hygomii,0.033871815,taxonomic
species:Pempheris klunzingeri,0.026187884,taxonomic
species:Lampanyctus nobilis,0.023074757,taxonomic
species:Scopelopsis multipunctatus,0.017031811,taxonomic
species:Hemigymnus melapterus,0.016076546,taxonomic
genus:Hyporhamphus,0.014618659,taxonomic
family:Exocoetidae,0.013556541,taxonomic
species:Bolinichthys photothorax,0.011820014,taxonomic
genus:Notoscopelus,0.01139017,taxonomic
genus:Torquigener,0.009161905,taxonomic
species:Spratelloides gracilis,0.008582907,taxonomic
species:Amblyglyphidodon leucogaster,0.008146571,taxonomic
species:Lampanyctus alatus,0.007739985,taxonomic
species:Cyclothone pseudopallida,0.0076148,taxonomic
genus:Seriola,0.006818012,taxonomic
species:Cetostoma regani,0.006586294,taxonomic
species:Lobianchia dofleini,0.0050956886,taxonomic
species:Serrivomer samoensis,0.004502206,taxonomic
species:Cubiceps baxteri,0.003769652,taxonomic
family:Centriscidae,0.0032922316,taxonomic
genus:Anampses,0.002913797,taxonomic
species:Myctophum nitidulum,0.002830646,taxonomic
species:Nealotus tripes,0.00253743,taxonomic
genus:Lethrinus,0.0023675163,taxonomic
family:Caesionidae,0.0023552696,taxonomic
species:Diaphus phillipsi,0.0023419794,taxonomic
species:Malacosteus niger,0.0022599048,taxonomic
family:Leuciscidae,0.0021259217,taxonomic
species:Synodus dermatogenys,0.0019238548,taxonomic
species:Diaphus termophilus,0.001872953,taxonomic
species:Taractichthys longipinnis,0.0018225692,taxonomic
species:Diaphus brachycephalus,0.0016577707,taxonomic
genus:Atherinomorus,0.0016330143,taxonomic
genus:Chauliodus,0.0012908208,taxonomic
genus:Sardinops,0.0012489363,taxonomic
genus:Diaphus,0.0012479661,taxonomic
species:Cyclothone sp.,0.00090392784,taxonomic
samp_collect_device_encoded,0.00088629255,collection_device
family:Phosichthyidae,0.0008255393,taxonomic
species:Tetragonurus atlanticus,0.0007836705,taxonomic
genus:Himantolophus,0.0007738138,taxonomic
species:Chauliodus sloani,0.0006922614,taxonomic
species:Acanthurus nigrofuscus,0.00060332613,taxonomic
species:Maurolicus sp.,0.0005979628,taxonomic
genus:Pomacentrus,0.0005521454,taxonomic
species:Grammatorcynus bicarinatus,0.0005288528,taxonomic
species:Stethojulis strigiventer,0.00052618317,taxonomic
species:unknown,0.00050968066,taxonomic
species:Hygophum sp.,0.0004926552,taxonomic
species:Ranzania laevis,0.00049131294,taxonomic
genus:Cubiceps,0.00049002125,taxonomic
species:Diplophos australis,0.0004804351,taxonomic
