sample_id,base_site,actual_lat,actual_lon,pred_lat,pred_lon,lat_error_deg,lon_error_deg,haversine_km
V10_CKI_N_1_2,V10_CKI_N_1_2,-28.67171667,111.4407833,-27.443647,110.16628,1.2280692853564439,1.274500646191413,185.1668388129762
V10_CKI_N_1_3,V10_CKI_N_1_3,-28.67171667,111.4407833,-25.058327,106.42492,3.6133899488085923,5.015864171582038,639.380940546361
V10_CKI_N_10_5,V10_CKI_N_10_5,-21.16356667,102.3353667,-21.064209,102.31866,0.09935768562500158,0.016709778613275716,11.183130902403061
V10_CKI_N_11_5,V10_CKI_N_11_5,-19.87321667,100.8182,-21.330624,101.94017,1.457406956708983,1.121970288085933,199.74585821865332
V10_CKI_N_12_2,V10_CKI_N_12_2,-19.23755,100.0747167,-22.18673,103.06326,2.949179431152345,2.988546239453129,451.8019360150355
V10_CKI_N_12_3,V10_CKI_N_12_3,-19.23755,100.0747167,-19.973864,101.00046,0.7363136016845715,0.9257410636718788,126.91091253727188
V10_CKI_N_13_4,V10_CKI_N_13_4,-18.64561667,99.39633333,-20.070786,101.04535,1.4251688524609385,1.6490157910937455,234.6025689590253
V10_CKI_N_13_5,V10_CKI_N_13_5,-18.64561667,99.39633333,-19.819729,100.72506,1.1741121813183604,1.3287261792773393,191.06111985499533
V10_CKI_N_5_1,V10_CKI_N_5_1,-24.89073333,106.7784333,-24.485586,107.17181,0.40514716361816383,0.39337303544921554,60.07524042611317
V10_CKI_N_6_2,V10_CKI_N_6_2,-24.25455,106.0043333,-23.17414,104.07432,1.080409069824217,1.9300153678710927,230.29843444515913
V10_CKI_N_7_1,V10_CKI_N_7_1,-23.64806667,105.2874333,-24.332033,106.01555,0.6839664873486342,0.728115406054684,106.09142515060209
V10_CKI_N_7_2,V10_CKI_N_7_2,-23.64806667,105.2874333,-24.787556,106.69542,1.1394890245800795,1.407986011523434,190.89193255903638
V10_CKI_N_8_5,V10_CKI_N_8_5,-22.32416667,103.7144667,-22.139193,104.34706,0.1849740888232425,0.6325944572265598,68.28349654771075
V10_CKI_N_9_1,V10_CKI_N_9_1,-21.72363333,102.9921667,-21.471243,102.88568,0.25239042533691247,0.10648554765624851,30.146761442655155
V10_CKI_N_9_2,V10_CKI_N_9_2,-21.72363333,102.9921667,-22.47522,104.23783,0.7515863965625016,1.2456644157226577,153.14679555802596
V10_CKI_N_9_5,V10_CKI_N_9_5,-21.72363333,102.9921667,-23.244827,104.450294,1.521193940507814,1.4581277946289077,225.9484048117071
V10_CKI_N_H_2_3_1,V10_CKI_N_H_2_3_1,-26.8176,109.1271,-27.082642,109.48395,0.26504160156250123,0.35684775390625134,46.03900916325974
V10_CKI_N_H_4_3_2,V10_CKI_N_H_4_3_2,-26.8176,109.1271,-26.057127,108.79473,0.7604730010986316,0.3323688598632799,90.8054211479642
V10_CKI_N_H_5_12_3,V10_CKI_N_H_5_12_3,-19.23755,100.0747167,-20.080664,100.83956,0.8431136810302746,0.7648447624023476,123.30130270817266
V10_CKI_U_13_2,V10_CKI_U_13_2,-18.64561667,99.39633333,-19.254719,99.58805,0.6091021105175791,0.19171751228515177,70.66643472648202
V10_CKI_U_13_5,V10_CKI_U_13_5,-18.64561667,99.39633333,-18.876268,99.64272,0.2306517168408213,0.24638975349608927,36.4791870199414
V10_CKI_U_14_2,V10_CKI_U_14_2,-17.29661667,97.84051667,-18.734272,98.35825,1.4376553331738293,0.5177368090039067,168.97415728961028
V10_CKI_U_2_3,V10_CKI_U_2_3,-27.41276667,109.8690333,-25.356228,107.75054,2.0565387952441405,2.1184916129882794,311.15288080931026
V10_CKI_U_4_1,V10_CKI_U_4_1,-26.2433,108.4332167,-24.952106,106.99157,1.2911935241699233,1.441647180957034,203.74592794876693
V10_CKI_U_4_4,V10_CKI_U_4_4,-26.2433,108.4332167,-26.546917,108.50572,0.30361696166992047,0.07250534589843483,34.52443733433734
V10_CKI_U_5_2,V10_CKI_U_5_2,-24.89073333,106.7784333,-24.595263,106.6978,0.29547080253417946,0.08063361738281571,33.84896068391052
V10_CKI_U_7_3,V10_CKI_U_7_3,-23.64806667,105.2874333,-23.507229,104.87229,0.14083781868163925,0.4151417350585973,45.113678620367054
V10_CKI_U_8_4,V10_CKI_U_8_4,-22.32416667,103.7144667,-25.567207,107.84668,3.243040666425781,4.132212987499997,553.4402315389856
V10_CKI_U_8_5,V10_CKI_U_8_5,-22.32416667,103.7144667,-22.841675,103.207924,0.5175081346874997,0.5065428108398464,77.56272584775714
