feature,importance,feature_type
dim_245,0.19635981,embedding
dim_568,0.07115771,embedding
dim_661,0.06353891,embedding
dim_289,0.054131933,embedding
dim_503,0.051951673,embedding
dim_326,0.032468725,embedding
dim_434,0.029470386,embedding
dim_540,0.023312062,embedding
dim_684,0.022728752,embedding
dim_250,0.018430248,embedding
dim_386,0.014872339,embedding
dim_105,0.014829768,embedding
dim_706,0.013280915,embedding
dim_416,0.013151361,embedding
dim_686,0.012118764,embedding
dim_170,0.010779855,embedding
dim_708,0.009967792,embedding
dim_720,0.009870268,embedding
dim_423,0.009099742,embedding
dim_128,0.008892163,embedding
dim_638,0.008787288,embedding
dim_493,0.008636077,embedding
dim_519,0.008375163,embedding
dim_194,0.007960102,embedding
dim_704,0.007916569,embedding
dim_64,0.00781809,embedding
dim_298,0.0077268593,embedding
dim_623,0.00751659,embedding
dim_752,0.0068686632,embedding
dim_415,0.006834355,embedding
dim_580,0.006759914,embedding
dim_395,0.006283144,embedding
dim_450,0.0060264254,embedding
dim_211,0.0056451266,embedding
dim_614,0.0054298877,embedding
dim_325,0.0052854195,embedding
dim_381,0.0048202435,embedding
dim_76,0.00480117,embedding
dim_182,0.0046625,embedding
dim_736,0.0044659157,embedding
dim_239,0.0041000713,embedding
dim_397,0.004083022,embedding
dim_284,0.004081711,embedding
dim_273,0.0040688775,embedding
dim_223,0.003959961,embedding
dim_679,0.0038833753,embedding
dim_13,0.0035728826,embedding
dim_722,0.003461223,embedding
dim_327,0.0033240556,embedding
dim_94,0.0032703895,embedding
dim_315,0.0031674975,embedding
dim_347,0.0030731908,embedding
dim_38,0.002973388,embedding
dim_396,0.002814644,embedding
dim_502,0.0028059157,embedding
dim_329,0.0027136407,embedding
dim_251,0.002668295,embedding
dim_449,0.0025939727,embedding
dim_57,0.0024383725,embedding
dim_761,0.0022948012,embedding
dim_709,0.0022084313,embedding
dim_252,0.0021453323,embedding
dim_398,0.0021386743,embedding
dim_497,0.0021296963,embedding
dim_697,0.002129253,embedding
dim_34,0.0021068058,embedding
dim_571,0.0020981005,embedding
dim_40,0.0020235772,embedding
dim_418,0.002002867,embedding
dim_431,0.001838859,embedding
dim_378,0.0018306156,embedding
dim_624,0.0018249133,embedding
dim_82,0.0017713879,embedding
dim_134,0.0017575151,embedding
dim_119,0.001751572,embedding
dim_582,0.0017198909,embedding
dim_163,0.0017154628,embedding
dim_562,0.001700626,embedding
dim_117,0.0016983732,embedding
dim_115,0.0016811148,embedding
dim_256,0.0016104875,embedding
dim_409,0.0015829948,embedding
dim_37,0.0015745282,embedding
dim_712,0.0015423554,embedding
dim_469,0.001522182,embedding
dim_98,0.0014677853,embedding
dim_338,0.0014250318,embedding
dim_375,0.0013871167,embedding
dim_652,0.0013595078,embedding
dim_387,0.0013399828,embedding
dim_286,0.0013312364,embedding
dim_253,0.0012887163,embedding
dim_262,0.0012711631,embedding
dim_224,0.0012432468,embedding
dim_287,0.0012284626,embedding
dim_392,0.0012080288,embedding
dim_675,0.001206889,embedding
dim_627,0.0011827733,embedding
dim_139,0.00117555,embedding
dim_407,0.0011715782,embedding
dim_342,0.0011422453,embedding
dim_649,0.0010702922,embedding
dim_586,0.0010162867,embedding
dim_560,0.0009885093,embedding
dim_207,0.0009798317,embedding
dim_530,0.0009737798,embedding
dim_144,0.0009654148,embedding
dim_233,0.0009425574,embedding
dim_153,0.00091986975,embedding
dim_88,0.0009035396,embedding
dim_218,0.0008911476,embedding
dim_678,0.00084097683,embedding
dim_191,0.00082965347,embedding
dim_157,0.0007918362,embedding
dim_23,0.00077559816,embedding
dim_605,0.00074613676,embedding
dim_112,0.0007422822,embedding
dim_546,0.00073810556,embedding
dim_615,0.000729669,embedding
dim_219,0.00071810826,embedding
dim_588,0.00070606626,embedding
dim_69,0.0006879889,embedding
dim_514,0.0006841263,embedding
dim_707,0.0006602949,embedding
dim_225,0.0006256733,embedding
dim_11,0.0005964009,embedding
dim_27,0.00056398625,embedding
dim_685,0.00056177314,embedding
dim_120,0.00054583646,embedding
dim_193,0.0005417256,embedding
dim_204,0.0005249317,embedding
dim_277,0.0005118452,embedding
dim_393,0.0005104609,embedding
dim_410,0.00047608808,embedding
dim_9,0.00045481118,embedding
dim_244,0.00045301125,embedding
dim_518,0.00044435306,embedding
dim_24,0.00043403785,embedding
dim_55,0.0004313166,embedding
dim_174,0.00042355704,embedding
dim_60,0.00042011362,embedding
dim_54,0.0004128811,embedding
dim_184,0.00040843038,embedding
dim_762,0.00040410884,embedding
dim_483,0.0003986954,embedding
dim_7,0.00039373315,embedding
dim_31,0.00039218742,embedding
dim_196,0.00037728754,embedding
dim_509,0.00036858805,embedding
dim_740,0.00036552642,embedding
dim_171,0.0003652244,embedding
dim_607,0.00036139728,embedding
dim_693,0.00035744428,embedding
dim_510,0.00035703156,embedding
dim_41,0.0003523607,embedding
dim_36,0.00035027394,embedding
dim_713,0.00034767788,embedding
dim_18,0.00033904536,embedding
dim_22,0.00032348136,embedding
dim_177,0.00031850737,embedding
dim_723,0.0003181315,embedding
dim_19,0.00031667008,embedding
dim_632,0.00030582317,embedding
dim_749,0.00030246496,embedding
dim_197,0.00029746158,embedding
dim_259,0.00029279245,embedding
dim_384,0.00029001915,embedding
dim_275,0.00028632575,embedding
dim_492,0.00027520306,embedding
dim_0,0.00027055087,embedding
dim_25,0.00026638457,embedding
dim_46,0.00026055603,embedding
dim_179,0.00025825878,embedding
dim_209,0.000256574,embedding
dim_39,0.0002519461,embedding
dim_691,0.00024100087,embedding
dim_701,0.00024084203,embedding
dim_63,0.00024056312,embedding
dim_56,0.0002399192,embedding
dim_288,0.00023987814,embedding
dim_610,0.0002362977,embedding
