feature,importance,feature_type
dim_466,0.028178748,embedding
dim_471,0.02212325,embedding
dim_289,0.021715708,embedding
dim_139,0.020214058,embedding
dim_386,0.018536769,embedding
dim_92,0.018466145,embedding
dim_233,0.01844414,embedding
dim_457,0.018129125,embedding
dim_255,0.01742035,embedding
dim_515,0.017277226,embedding
dim_178,0.016964283,embedding
dim_661,0.013136064,embedding
dim_135,0.012321121,embedding
dim_296,0.012183402,embedding
dim_503,0.010154329,embedding
dim_534,0.0096459985,embedding
dim_412,0.009087785,embedding
dim_437,0.008850046,embedding
dim_540,0.008611752,embedding
dim_605,0.00845741,embedding
dim_468,0.007943971,embedding
dim_287,0.0075970003,embedding
dim_614,0.0073327436,embedding
dim_736,0.0072971787,embedding
dim_568,0.007107431,embedding
dim_375,0.0070901867,embedding
dim_433,0.007057989,embedding
dim_348,0.0066954587,embedding
dim_576,0.0060009276,embedding
dim_128,0.00557366,embedding
dim_695,0.005513455,embedding
dim_202,0.005330898,embedding
dim_112,0.0051448178,embedding
dim_273,0.0051302863,embedding
dim_171,0.005083088,embedding
dim_239,0.005023308,embedding
dim_652,0.0050040693,embedding
dim_596,0.0049239164,embedding
dim_205,0.00491622,embedding
dim_623,0.0048788176,embedding
dim_203,0.004807987,embedding
dim_362,0.004733676,embedding
dim_470,0.0045855464,embedding
dim_687,0.0045552356,embedding
dim_88,0.0045286287,embedding
dim_588,0.004468509,embedding
dim_766,0.0043637673,embedding
dim_220,0.0043208012,embedding
dim_170,0.004247141,embedding
dim_221,0.0041802498,embedding
dim_250,0.0040151933,embedding
dim_224,0.003996596,embedding
dim_311,0.0039308844,embedding
dim_604,0.0038587642,embedding
dim_547,0.0038356243,embedding
dim_519,0.0038316287,embedding
dim_733,0.0038062632,embedding
dim_381,0.0037850183,embedding
dim_424,0.00374615,embedding
dim_638,0.003729608,embedding
dim_201,0.003650799,embedding
dim_509,0.0036273631,embedding
dim_660,0.0036036323,embedding
dim_367,0.003593968,embedding
dim_429,0.0034989775,embedding
dim_621,0.0034847679,embedding
dim_236,0.0034712264,embedding
dim_64,0.0034412546,embedding
dim_298,0.0034304615,embedding
dim_85,0.0033978173,embedding
dim_706,0.003389953,embedding
dim_219,0.0033592214,embedding
dim_274,0.0033481487,embedding
dim_108,0.0032076647,embedding
dim_385,0.003205527,embedding
dim_393,0.0031606117,embedding
dim_38,0.0031583873,embedding
dim_138,0.0031536664,embedding
dim_708,0.0031392714,embedding
dim_282,0.0031176351,embedding
dim_574,0.0031004853,embedding
dim_315,0.0030679458,embedding
dim_432,0.0030412457,embedding
dim_390,0.0030200062,embedding
dim_504,0.0029867552,embedding
dim_37,0.002986095,embedding
dim_398,0.0029772646,embedding
dim_163,0.0029721027,embedding
dim_746,0.002964968,embedding
dim_409,0.002889386,embedding
dim_109,0.0028639836,embedding
dim_61,0.0028382144,embedding
dim_671,0.0027657268,embedding
dim_242,0.0027380998,embedding
dim_124,0.002725948,embedding
dim_745,0.0027190535,embedding
dim_532,0.0027184973,embedding
dim_302,0.002647913,embedding
dim_493,0.0026334364,embedding
dim_684,0.0026325474,embedding
dim_57,0.0026132371,embedding
dim_416,0.0026065079,embedding
dim_101,0.0025998855,embedding
dim_627,0.0025762124,embedding
dim_303,0.002572764,embedding
dim_408,0.0025594817,embedding
dim_225,0.002544478,embedding
dim_635,0.0025284654,embedding
dim_253,0.0025182895,embedding
dim_763,0.002507851,embedding
dim_582,0.0024992453,embedding
dim_434,0.0024928108,embedding
dim_117,0.0024851519,embedding
dim_693,0.0024788664,embedding
dim_52,0.0024429774,embedding
dim_104,0.0024290483,embedding
dim_643,0.0024186156,embedding
dim_502,0.0023823236,embedding
dim_42,0.0023783296,embedding
dim_13,0.002370061,embedding
dim_526,0.0023518137,embedding
dim_53,0.0023156218,embedding
dim_672,0.0023047593,embedding
dim_71,0.002292261,embedding
dim_637,0.0022813925,embedding
dim_410,0.0022811024,embedding
dim_177,0.002277036,embedding
dim_328,0.0022670329,embedding
dim_387,0.002256834,embedding
dim_251,0.002232493,embedding
dim_707,0.0022295804,embedding
dim_111,0.0022238053,embedding
dim_211,0.0022205776,embedding
dim_525,0.0022075528,embedding
dim_226,0.002191089,embedding
dim_72,0.002168526,embedding
dim_54,0.0021594074,embedding
dim_449,0.0021226471,embedding
dim_454,0.00209811,embedding
dim_209,0.0020940353,embedding
dim_245,0.002072227,embedding
dim_469,0.0020573197,embedding
dim_49,0.0020432528,embedding
dim_715,0.0020421566,embedding
dim_716,0.0020231132,embedding
dim_510,0.0020225164,embedding
dim_329,0.0020216408,embedding
dim_353,0.0019991049,embedding
dim_701,0.0019834249,embedding
dim_712,0.0019806055,embedding
dim_587,0.001934452,embedding
dim_22,0.0019318515,embedding
dim_352,0.0019231148,embedding
dim_446,0.0019048607,embedding
dim_7,0.0019019549,embedding
dim_357,0.0019004194,embedding
dim_383,0.0018953208,embedding
dim_492,0.0018908896,embedding
dim_44,0.0018641006,embedding
dim_150,0.0018484597,embedding
dim_480,0.0018345081,embedding
dim_465,0.0018307421,embedding
dim_73,0.0018194929,embedding
dim_552,0.0017743239,embedding
dim_176,0.0017718477,embedding
dim_451,0.0017611374,embedding
dim_517,0.0017606028,embedding
dim_228,0.001735694,embedding
dim_423,0.0017274448,embedding
dim_218,0.0017269333,embedding
dim_115,0.0017208672,embedding
dim_720,0.0017078137,embedding
dim_729,0.0016998074,embedding
dim_80,0.0016996507,embedding
dim_265,0.0016977473,embedding
dim_120,0.0016839781,embedding
dim_689,0.0016479958,embedding
dim_193,0.0016456505,embedding
dim_342,0.0016365547,embedding
dim_624,0.0016157071,embedding
dim_388,0.0016133395,embedding
dim_94,0.001603723,embedding
dim_41,0.001584083,embedding
dim_333,0.0015771195,embedding
dim_19,0.0015750462,embedding
dim_175,0.0015677923,embedding
dim_682,0.0015660597,embedding
dim_36,0.0015342014,embedding
dim_199,0.0015307076,embedding
dim_272,0.0015206195,embedding
