feature,importance,feature_type
genus:Dasyscopelus,0.3148414086259784,taxonomic
species:Cyclothone pseudopallida,0.10433669878673879,taxonomic
genus:Thunnus,0.09133574746065366,taxonomic
family:Exocoetidae,0.08294204242669838,taxonomic
genus:Cyclothone,0.057445799692168405,taxonomic
family:Phosichthyidae,0.047013012848255625,taxonomic
species:Hygophum hygomii,0.03230737108567432,taxonomic
species:Spratelloides gracilis,0.02902331864301872,taxonomic
species:Lampanyctus alatus,0.0278678879544192,taxonomic
species:Scopelopsis multipunctatus,0.0270568600783126,taxonomic
species:Gonorynchus greyi,0.026850381252266933,taxonomic
genus:Trachurus,0.019143663607172037,taxonomic
species:Cubiceps sp.,0.015046564815479366,taxonomic
species:Bolinichthys photothorax,0.011285437815991601,taxonomic
species:Triphoturus nigrescens,0.009080261840260657,taxonomic
species:Symbolophorus evermanni,0.00721876537409274,taxonomic
species:Diaphus perspicillatus,0.004807631989144565,taxonomic
order:Scombriformes,0.0047719587197184365,taxonomic
species:Coris aygula,0.004293826390236643,taxonomic
species:Lampanyctus nobilis,0.004223711986440148,taxonomic
species:Taractichthys longipinnis,0.004070086255685299,taxonomic
genus:Ariosoma,0.0036872923101242965,taxonomic
species:Lobianchia dofleini,0.0036109723669459377,taxonomic
species:Halichoeres trimaculatus,0.0030601188466959427,taxonomic
species:Serrivomer samoensis,0.0024706664192687203,taxonomic
genus:Lethrinus,0.0023571993576796267,taxonomic
genus:Sardinops,0.0019138296934318078,taxonomic
genus:Ceratoscopelus,0.0017717749227838147,taxonomic
species:Cirripectes randalli,0.0016512227795835053,taxonomic
species:Cubiceps baxteri,0.0016382910972362527,taxonomic
genus:Lobianchia,0.0016008312783128958,taxonomic
samp_collect_device_encoded,0.0015942919767891973,collection_device
species:Tetragonurus atlanticus,0.0015150196402554154,taxonomic
genus:Bolinichthys,0.001421614531575212,taxonomic
species:Hygophum sp.,0.001419413202793827,taxonomic
species:Synodus dermatogenys,0.0013760280502714923,taxonomic
family:Leuciscidae,0.001283796156398118,taxonomic
species:Hemigymnus fasciatus,0.0012518784506729294,taxonomic
genus:Notoscopelus,0.0011898967988662186,taxonomic
species:Pteraclis aesticola,0.0011658138643123694,taxonomic
species:Regalecus glesne,0.001153898775320502,taxonomic
genus:Stomias,0.0011510629337265414,taxonomic
species:Diaphus garmani,0.0011127655674053323,taxonomic
species:Hygophum proximum,0.001107190639578106,taxonomic
species:Diaphus brachycephalus,0.0011033002344221486,taxonomic
species:Lagocephalus lagocephalus,0.0010712157687842508,taxonomic
family:Cottidae,0.0010647503529133669,taxonomic
genus:Diaphus,0.0009969042459085718,taxonomic
species:Alburnoides bipunctatus,0.000941793360241715,taxonomic
species:Diaphus lucidus,0.0009400428098715061,taxonomic
species:Scopelarchoides danae,0.0008587483739187306,taxonomic
species:Nealotus tripes,0.0008481658974754425,taxonomic
species:Atherinomorus sp.,0.0008442503666043229,taxonomic
species:Maurolicus sp.,0.0008331906988990199,taxonomic
genus:Scolopsis,0.0008067058542865599,taxonomic
species:Chauliodus sloani,0.0007729483542419821,taxonomic
genus:Thaumatichthys,0.0007196334834883463,taxonomic
genus:Himantolophus,0.0006785573150972907,taxonomic
species:Diaphus aliciae,0.0006610185270058886,taxonomic
species:Desmodema polystictum,0.0006257402140408076,taxonomic
species:Nomeus gronovii,0.0005976764768541128,taxonomic
genus:Anampses,0.0005726773028300528,taxonomic
species:Stethojulis strigiventer,0.00056115276312631,taxonomic
species:Austrolabrus maculatus,0.0005568642264939952,taxonomic
species:Benthosema suborbitale,0.0005411613908983938,taxonomic
genus:Scomber,0.0005386316187288334,taxonomic
species:Amblyglyphidodon leucogaster,0.0005318894561077673,taxonomic
species:Diaphus phillipsi,0.0005287138741680837,taxonomic
species:Diaphus splendidus,0.0005253133206974086,taxonomic
species:Sladenia gardineri,0.0004921804007544545,taxonomic
species:Spratelloides robustus,0.0004904787591012873,taxonomic
species:Grammatorcynus bicarinatus,0.0004773975710256485,taxonomic
species:Notoscopelus caudispinosus,0.0004663093978213103,taxonomic
species:Diaphus fragilis,0.0004448260104218531,taxonomic
species:Cyclothone sp.,0.00043639262886354177,taxonomic
family:Scombridae,0.0004021495532537006,taxonomic
genus:Kyphosus,0.0003908926417008216,taxonomic
species:Myctophum nitidulum,0.0003888582847377358,taxonomic
species:Diplophos australis,0.00038697080937454524,taxonomic
species:Magnisudis atlantica,0.0003815445908834472,taxonomic
species:Ranzania laevis,0.0003662086258565261,taxonomic
species:Hypoplectrodes cardinalis,0.00036428753137356183,taxonomic
family:Centriscidae,0.0003611230342576456,taxonomic
species:Cnidoglanis macrocephalus,0.00034723457282186067,taxonomic
