feature,importance,feature_type
dim_135,0.07780171868508468,embedding
dim_289,0.06221511514308582,embedding
dim_457,0.049100723289609245,embedding
dim_471,0.04477014481870454,embedding
dim_534,0.04282175408640988,embedding
dim_255,0.04225169402278017,embedding
dim_233,0.039786632483514016,embedding
dim_503,0.03937122442496236,embedding
dim_605,0.03577448600867422,embedding
dim_515,0.032570739744328205,embedding
dim_604,0.019678784724949643,embedding
dim_108,0.019232392753858473,embedding
dim_1,0.018603853703815232,embedding
dim_669,0.01807832102420392,embedding
dim_239,0.01335773888763412,embedding
dim_92,0.013148068395303964,embedding
dim_350,0.013118582784006141,embedding
dim_386,0.012689362666195216,embedding
dim_540,0.01132267737765162,embedding
dim_211,0.010168751347340396,embedding
dim_381,0.008953309452032753,embedding
dim_736,0.00892671109069944,embedding
dim_435,0.00833898235330314,embedding
dim_375,0.006752623811090751,embedding
dim_519,0.0061440625920698025,embedding
dim_613,0.006133591030698616,embedding
dim_287,0.005800288133443482,embedding
dim_558,0.005611573014544748,embedding
dim_466,0.00558234347292063,embedding
dim_250,0.005554018048864313,embedding
dim_333,0.00552552681011279,embedding
dim_285,0.005338227033765987,embedding
dim_573,0.004808761897322441,embedding
dim_112,0.004789541965924322,embedding
dim_139,0.004482273839502781,embedding
dim_658,0.004475379061120863,embedding
dim_746,0.004434830800723522,embedding
dim_202,0.004285605960351896,embedding
dim_336,0.0033532138256319797,embedding
dim_500,0.0033350005808173056,embedding
dim_163,0.0031718087132607906,embedding
dim_672,0.0031674384055247946,embedding
dim_557,0.0026970423017816923,embedding
dim_120,0.0026423354216382464,embedding
dim_221,0.002527623257916746,embedding
dim_623,0.002449420382180361,embedding
dim_436,0.0024472354914461263,embedding
dim_385,0.0024413603280510326,embedding
dim_173,0.0023565454681971423,embedding
dim_647,0.002318122355324754,embedding
dim_532,0.0022682562087715944,embedding
dim_588,0.002261290533783836,embedding
dim_235,0.002179025194284579,embedding
dim_587,0.002173803048995236,embedding
dim_376,0.002131163072670234,embedding
dim_412,0.0021289767988268314,embedding
dim_290,0.0020294952943089935,embedding
dim_129,0.001969197415361533,embedding
dim_745,0.0019445752168462684,embedding
dim_423,0.00192603580832935,embedding
dim_59,0.0019201637889291298,embedding
dim_311,0.0018835339579189997,embedding
dim_571,0.0018545886644448137,embedding
dim_254,0.0018478705777699208,embedding
dim_197,0.0018080966373506327,embedding
dim_50,0.0018064208411189423,embedding
dim_416,0.0017987476856971948,embedding
dim_524,0.0017934171144567035,embedding
dim_561,0.0017776668275177442,embedding
dim_321,0.0017400909316395942,embedding
dim_88,0.0017130956752618898,embedding
dim_424,0.0016939900862649954,embedding
dim_178,0.0016639750705251886,embedding
dim_245,0.0016101719368350016,embedding
dim_614,0.0015856910695068221,embedding
dim_731,0.0015651836917075785,embedding
dim_118,0.0015603713030232103,embedding
dim_298,0.0015551881575975985,embedding
dim_39,0.0015087390667762614,embedding
dim_395,0.0015054038655028807,embedding
dim_174,0.0015042886474039342,embedding
dim_686,0.0014994728376783915,embedding
dim_684,0.001497811365019773,embedding
dim_294,0.001495599117089535,embedding
dim_378,0.0014743028762754884,embedding
dim_455,0.0014637628022365352,embedding
dim_522,0.00145944910139521,embedding
dim_347,0.0014525683443786924,embedding
dim_553,0.0014287854969006607,embedding
dim_107,0.00142364613308833,embedding
dim_361,0.001410306035293446,embedding
dim_488,0.0014076500030498686,embedding
dim_521,0.001406362284920854,embedding
dim_733,0.0013844955466224146,embedding
