sample_id,base_site,actual_sst,pred_sst,abs_error
V10_CKI_N_4_1,V10_CKI_N_4,20.46,20.44495832833335,0.015041671666651268
V10_CKI_N_4_2,V10_CKI_N_4,20.46,20.739396644666666,0.27939664466666514
V10_CKI_N_4_3,V10_CKI_N_4,20.46,20.791470312320353,0.3314703123203522
V10_CKI_N_4_4,V10_CKI_N_4,20.46,20.807343872222223,0.34734387222222196
V10_CKI_N_4_5,V10_CKI_N_4,20.46,20.448148086238106,0.01185191376189465
V10_CKI_N_5_1,V10_CKI_N_5,21.21,21.02533688776192,0.18466311223808063
V10_CKI_N_5_2,V10_CKI_N_5,21.21,22.074745048313485,0.864745048313484
V10_CKI_N_5_3,V10_CKI_N_5,21.21,22.85988367638383,1.6498836763838298
V10_CKI_N_5_4,V10_CKI_N_5,21.21,22.958724270277763,1.7487242702777621
V10_CKI_N_5_5,V10_CKI_N_5,21.21,20.87431590069843,0.33568409930157017
V10_CKI_N_H_2_3_1,V10_CKI_N_H_2_3,19.52,20.76761296752381,1.2476129675238106
V10_CKI_N_H_2_3_2,V10_CKI_N_H_2_3,19.52,20.469265753968273,0.9492657539682732
V10_CKI_N_H_2_3_3,V10_CKI_N_H_2_3,19.52,20.77352656730159,1.2535265673015914
V10_CKI_N_H_5_12_1,V10_CKI_N_H_5_12,23.789999,22.719270344690468,1.0707286553095337
V10_CKI_N_H_5_12_2,V10_CKI_N_H_5_12,23.789999,23.368203834333325,0.4217951656666763
V10_CKI_N_H_5_12_3,V10_CKI_N_H_5_12,23.789999,21.812988780261893,1.9770102197381085
V10_CKI_U_2_1,V10_CKI_U_2,20.02,21.085681588333337,1.0656815883333373
V10_CKI_U_2_2,V10_CKI_U_2,20.02,20.973717565785723,0.9537175657857233
V10_CKI_U_2_3,V10_CKI_U_2,20.02,21.85981113802381,1.839811138023812
V10_CKI_U_2_4,V10_CKI_U_2,20.02,21.402717031857147,1.3827170318571476
V10_CKI_U_2_5,V10_CKI_U_2,20.02,21.568010219809523,1.5480102198095231
V10_CKI_U_8_1,V10_CKI_U_8,22.35,20.743002527682556,1.6069974723174454
V10_CKI_U_8_2,V10_CKI_U_8,22.35,21.789154453047622,0.560845546952379
V10_CKI_U_8_3,V10_CKI_U_8,22.35,20.526310355476213,1.823689644523789
V10_CKI_U_8_4,V10_CKI_U_8,22.35,20.73554069311906,1.614459306880942
V10_CKI_U_8_5,V10_CKI_U_8,22.35,20.547102380952396,1.8028976190476058
