feature,importance,feature_type
dim_289,0.20897248,embedding
dim_386,0.08047802,embedding
dim_605,0.058462422,embedding
dim_135,0.04357305,embedding
dim_325,0.03765629,embedding
dim_736,0.031915646,embedding
dim_255,0.023427978,embedding
dim_124,0.01938551,embedding
dim_652,0.017804088,embedding
dim_423,0.016566219,embedding
dim_85,0.015856808,embedding
dim_515,0.013530421,embedding
dim_574,0.013401922,embedding
dim_381,0.0121267075,embedding
dim_88,0.011459834,embedding
dim_163,0.010781337,embedding
dim_712,0.010665269,embedding
dim_685,0.010553821,embedding
dim_661,0.010284978,embedding
dim_733,0.009743052,embedding
dim_623,0.009563732,embedding
dim_385,0.008686434,embedding
dim_239,0.008438111,embedding
dim_412,0.00841528,embedding
dim_125,0.00835796,embedding
dim_242,0.008272602,embedding
dim_619,0.008167782,embedding
dim_178,0.008148676,embedding
dim_375,0.007285628,embedding
dim_654,0.0072044153,embedding
dim_80,0.0070360755,embedding
dim_37,0.0070359693,embedding
dim_757,0.0068664695,embedding
dim_439,0.0065675844,embedding
dim_466,0.006489045,embedding
dim_205,0.0063632303,embedding
dim_496,0.0051858104,embedding
dim_540,0.005050258,embedding
dim_596,0.0049122325,embedding
dim_199,0.004704114,embedding
dim_217,0.0045815785,embedding
dim_171,0.0045658415,embedding
dim_373,0.0042497455,embedding
dim_145,0.0040626707,embedding
dim_233,0.0040493314,embedding
dim_424,0.0038034178,embedding
dim_307,0.0037335642,embedding
dim_191,0.0036777423,embedding
dim_390,0.003600316,embedding
dim_462,0.0035934632,embedding
dim_160,0.0035426002,embedding
dim_175,0.003492426,embedding
dim_143,0.0034510419,embedding
dim_746,0.0034298082,embedding
dim_517,0.0032951,embedding
dim_535,0.0031092179,embedding
dim_449,0.002942682,embedding
dim_223,0.0029364203,embedding
dim_226,0.0029325346,embedding
dim_707,0.0028848818,embedding
dim_716,0.002760506,embedding
dim_75,0.0027006464,embedding
dim_190,0.0026567895,embedding
dim_434,0.0026414727,embedding
dim_269,0.0026374925,embedding
dim_627,0.0025857072,embedding
dim_68,0.0025718126,embedding
dim_547,0.0025402873,embedding
dim_211,0.0025107851,embedding
dim_388,0.0024620537,embedding
dim_534,0.0024494291,embedding
dim_274,0.0024273098,embedding
dim_413,0.0024238278,embedding
dim_624,0.0023558678,embedding
dim_470,0.0023294287,embedding
dim_604,0.0023235204,embedding
dim_582,0.00226777,embedding
dim_365,0.0022047586,embedding
dim_61,0.002175127,embedding
dim_282,0.0019559977,embedding
dim_154,0.0019344713,embedding
dim_672,0.0018732264,embedding
dim_311,0.001845861,embedding
dim_19,0.0017913961,embedding
dim_709,0.0017332992,embedding
dim_724,0.0016550173,embedding
dim_140,0.0016431479,embedding
dim_116,0.001609757,embedding
dim_603,0.0015352209,embedding
dim_158,0.0014889496,embedding
dim_573,0.001413327,embedding
dim_123,0.0013638929,embedding
dim_53,0.0013605095,embedding
dim_259,0.001281703,embedding
dim_60,0.0012356669,embedding
dim_82,0.0012351932,embedding
dim_372,0.0011864678,embedding
dim_682,0.0011541017,embedding
dim_405,0.001115437,embedding
dim_393,0.0011087103,embedding
dim_509,0.0010914347,embedding
dim_46,0.0010719604,embedding
dim_464,0.0010336088,embedding
dim_403,0.0009830375,embedding
dim_334,0.0009788593,embedding
dim_463,0.0009720756,embedding
dim_120,0.000951926,embedding
dim_245,0.0009393943,embedding
dim_235,0.00091969455,embedding
dim_565,0.0009157546,embedding
dim_36,0.0008568693,embedding
dim_49,0.0008417489,embedding
dim_658,0.0008156023,embedding
dim_248,0.00081478374,embedding
dim_13,0.0007842821,embedding
dim_11,0.0007683571,embedding
dim_728,0.0007451118,embedding
dim_44,0.0007146447,embedding
dim_444,0.0007093023,embedding
dim_342,0.0007025433,embedding
dim_42,0.0006839235,embedding
dim_500,0.0006781443,embedding
dim_30,0.00067256595,embedding
dim_270,0.0006580748,embedding
dim_18,0.0006417079,embedding
dim_467,0.0006225241,embedding
dim_69,0.00060076086,embedding
dim_608,0.00058939896,embedding
dim_564,0.0005777033,embedding
dim_689,0.0005724051,embedding
dim_29,0.00057097146,embedding
dim_391,0.000559979,embedding
dim_308,0.00055034144,embedding
dim_7,0.0005395525,embedding
dim_12,0.00053400814,embedding
dim_453,0.00051327306,embedding
dim_533,0.00048428454,embedding
dim_202,0.00048177235,embedding
dim_22,0.00047893438,embedding
dim_576,0.00047657202,embedding
dim_457,0.00047470944,embedding
dim_172,0.00046166623,embedding
dim_141,0.00045521633,embedding
dim_104,0.00044833435,embedding
dim_5,0.00043859737,embedding
dim_194,0.00042021857,embedding
dim_625,0.0004077058,embedding
dim_715,0.00040510733,embedding
dim_91,0.0003801462,embedding
dim_209,0.00037957277,embedding
dim_438,0.00037249035,embedding
dim_655,0.00036695972,embedding
dim_16,0.0003567956,embedding
dim_218,0.0003567699,embedding
dim_490,0.00035602995,embedding
dim_410,0.00035203437,embedding
dim_33,0.00033591667,embedding
dim_331,0.00031395943,embedding
dim_26,0.00031171288,embedding
dim_106,0.00030894062,embedding
dim_548,0.00029552405,embedding
dim_683,0.00029357593,embedding
dim_766,0.0002777057,embedding
dim_0,0.0002580919,embedding
dim_17,0.00025130372,embedding
dim_560,0.000248529,embedding
dim_653,0.00024768998,embedding
dim_77,0.00021668049,embedding
dim_90,0.00021518505,embedding
dim_665,0.00021500504,embedding
dim_262,0.00020627047,embedding
dim_677,0.00019698779,embedding
dim_570,0.00019667369,embedding
dim_758,0.00019556981,embedding
dim_201,0.00017880766,embedding
dim_407,0.00017872882,embedding
dim_584,0.0001784349,embedding
dim_397,0.00017807295,embedding
dim_482,0.00017536303,embedding
dim_429,0.00017438132,embedding
dim_446,0.0001729267,embedding
dim_14,0.0001700283,embedding
dim_670,0.0001694514,embedding
dim_318,0.00016478403,embedding
dim_638,0.00016256253,embedding
dim_556,0.0001625255,embedding
dim_134,0.00015941486,embedding
dim_156,0.000157953,embedding
dim_31,0.00015774263,embedding
dim_579,0.00014787161,embedding
dim_153,0.00014541612,embedding
dim_613,0.00014536042,embedding
dim_370,0.00014456683,embedding
dim_322,0.00014348053,embedding
dim_244,0.00014205808,embedding
dim_151,0.00013799152,embedding
dim_107,0.00013737257,embedding
dim_118,0.00013637324,embedding
dim_483,0.0001357622,embedding
dim_691,0.000133608,embedding
dim_680,0.00012957057,embedding
dim_614,0.00012728697,embedding
dim_297,0.00012476608,embedding
dim_659,0.00011525173,embedding
dim_231,0.00011357508,embedding
dim_755,0.0001101408,embedding
samp_collect_device_encoded,0.00010952938,collection_device
dim_435,0.000109381974,embedding
dim_52,0.00010341125,embedding
dim_3,0.00010134488,embedding
dim_58,9.957946e-05,embedding
dim_436,9.741783e-05,embedding
dim_692,9.649911e-05,embedding
dim_749,9.5911906e-05,embedding
dim_395,9.415046e-05,embedding
dim_508,9.126305e-05,embedding
dim_641,8.888295e-05,embedding
dim_426,8.603677e-05,embedding
dim_754,8.243974e-05,embedding
dim_38,8.084053e-05,embedding
dim_333,7.948969e-05,embedding
dim_28,7.615227e-05,embedding
dim_98,7.614332e-05,embedding
dim_126,7.48566e-05,embedding
dim_504,7.453829e-05,embedding
dim_222,7.416027e-05,embedding
dim_84,7.2789946e-05,embedding
dim_376,7.198614e-05,embedding
dim_440,7.134652e-05,embedding
dim_610,7.053043e-05,embedding
dim_315,7.044932e-05,embedding
dim_131,6.9960544e-05,embedding
dim_695,6.912011e-05,embedding
dim_743,6.845179e-05,embedding
dim_25,6.6368935e-05,embedding
dim_347,6.480254e-05,embedding
dim_362,6.332149e-05,embedding
dim_198,6.25335e-05,embedding
dim_253,5.7205052e-05,embedding
dim_215,5.5376702e-05,embedding
dim_330,5.4878554e-05,embedding
dim_56,5.214839e-05,embedding
dim_8,5.2141557e-05,embedding
dim_251,4.720117e-05,embedding
dim_571,4.704997e-05,embedding
dim_79,4.67567e-05,embedding
dim_136,4.6751513e-05,embedding
dim_324,4.5850666e-05,embedding
dim_204,4.5747987e-05,embedding
dim_86,4.2806714e-05,embedding
dim_726,4.2037795e-05,embedding
dim_396,4.2021464e-05,embedding
dim_629,4.123363e-05,embedding
dim_510,4.108331e-05,embedding
dim_1,3.8531147e-05,embedding
dim_250,3.7509144e-05,embedding
dim_27,3.7413618e-05,embedding
dim_97,3.5492263e-05,embedding
dim_50,3.504281e-05,embedding
dim_288,3.5015015e-05,embedding
dim_155,3.4914596e-05,embedding
dim_232,3.456664e-05,embedding
dim_387,3.4248398e-05,embedding
dim_344,3.3916676e-05,embedding
dim_753,3.3904947e-05,embedding
dim_561,3.35576e-05,embedding
dim_720,3.3246844e-05,embedding
dim_111,3.3228724e-05,embedding
dim_585,3.2875596e-05,embedding
dim_54,3.275873e-05,embedding
dim_647,3.112671e-05,embedding
dim_428,3.0712465e-05,embedding
dim_102,2.883035e-05,embedding
dim_497,2.8115584e-05,embedding
dim_432,2.681895e-05,embedding
dim_469,2.5085557e-05,embedding
dim_477,2.4356434e-05,embedding
dim_132,2.3510118e-05,embedding
dim_144,2.2775284e-05,embedding
dim_455,2.2715962e-05,embedding
dim_119,2.0141162e-05,embedding
dim_363,1.9912679e-05,embedding
dim_408,1.9775362e-05,embedding
dim_671,1.9745168e-05,embedding
dim_404,1.9527653e-05,embedding
dim_300,1.9397048e-05,embedding
dim_425,1.9061314e-05,embedding
dim_43,1.8975645e-05,embedding
dim_236,1.8056697e-05,embedding
dim_622,1.801546e-05,embedding
dim_168,1.7719934e-05,embedding
dim_675,1.771276e-05,embedding
dim_6,1.7653956e-05,embedding
dim_72,1.6857812e-05,embedding
dim_353,1.6295919e-05,embedding
dim_309,1.6025435e-05,embedding
dim_148,1.5525513e-05,embedding
dim_445,1.48968475e-05,embedding
dim_343,1.4720332e-05,embedding
dim_702,1.4623048e-05,embedding
dim_377,1.4134023e-05,embedding
dim_644,1.3945566e-05,embedding
dim_599,1.3443425e-05,embedding
dim_501,1.2559442e-05,embedding
dim_40,1.2502833e-05,embedding
dim_441,1.2068631e-05,embedding
dim_600,1.1827318e-05,embedding
dim_634,1.1807033e-05,embedding
dim_606,1.1754865e-05,embedding
dim_71,1.17403015e-05,embedding
dim_433,1.1664933e-05,embedding
dim_63,1.1517913e-05,embedding
dim_2,1.1439296e-05,embedding
dim_206,1.1331367e-05,embedding
dim_109,1.105552e-05,embedding
dim_723,1.09903485e-05,embedding
dim_519,1.0979451e-05,embedding
dim_177,1.0968164e-05,embedding
dim_668,1.0326856e-05,embedding
dim_531,1.03088405e-05,embedding
dim_214,1.0170409e-05,embedding
dim_763,1.0151104e-05,embedding
dim_319,9.07714e-06,embedding
dim_506,8.794758e-06,embedding
dim_452,8.419021e-06,embedding
dim_645,8.2518345e-06,embedding
dim_96,8.041486e-06,embedding
dim_352,7.7983805e-06,embedding
dim_272,7.752693e-06,embedding
dim_719,7.5172165e-06,embedding
dim_65,7.4962986e-06,embedding
dim_493,7.420891e-06,embedding
dim_280,7.3114147e-06,embedding
dim_196,7.2984685e-06,embedding
dim_167,7.19103e-06,embedding
dim_572,7.181722e-06,embedding
dim_480,6.759509e-06,embedding
dim_648,6.660605e-06,embedding
dim_287,6.5466456e-06,embedding
dim_713,6.4126057e-06,embedding
dim_400,6.2034023e-06,embedding
dim_264,5.8390838e-06,embedding
dim_476,5.341491e-06,embedding
dim_503,5.302134e-06,embedding
dim_569,5.085238e-06,embedding
dim_275,5.076671e-06,embedding
dim_555,5.05989e-06,embedding
dim_296,5.013931e-06,embedding
dim_662,4.887218e-06,embedding
dim_290,4.878439e-06,embedding
dim_415,4.7903445e-06,embedding
dim_632,4.7308995e-06,embedding
dim_640,4.1167896e-06,embedding
dim_575,4.0325112e-06,embedding
