sample_id,base_site,actual_lat,actual_lon,pred_lat,pred_lon,lat_error_deg,lon_error_deg,haversine_km
V10_CKI_N_4_1,V10_CKI_N_4,-26.2433,108.4332167,-24.637976,106.39601,1.605324307250978,2.03720534746094,271.48380907108344
V10_CKI_N_4_2,V10_CKI_N_4,-26.2433,108.4332167,-24.462824,106.16906,1.7804761322021498,2.264156946582034,301.58019718988214
V10_CKI_N_4_3,V10_CKI_N_4,-26.2433,108.4332167,-25.168385,107.18859,1.0749154479980483,1.244625696582034,172.72904840024134
V10_CKI_N_4_4,V10_CKI_N_4,-26.2433,108.4332167,-24.838987,106.49909,1.4043126495361342,1.9341245979492214,249.0671014298969
V10_CKI_N_4_5,V10_CKI_N_4,-26.2433,108.4332167,-24.93498,106.84026,1.3083196075439467,1.592953333300784,216.0632481992587
V10_CKI_N_5_1,V10_CKI_N_5,-24.89073333,106.7784333,-24.189545,105.91031,0.7011886522656248,0.8681244621093782,117.42998811389081
V10_CKI_N_5_2,V10_CKI_N_5,-24.89073333,106.7784333,-22.259377,103.67607,2.6313568041210935,3.1023621330078157,430.7506624503548
V10_CKI_N_5_3,V10_CKI_N_5,-24.89073333,106.7784333,-21.258234,102.51324,3.632499305952148,4.2651963004882845,594.4872286313387
V10_CKI_N_5_4,V10_CKI_N_5,-24.89073333,106.7784333,-20.684156,101.833984,4.20657691215332,4.944448925000003,689.5811843879677
V10_CKI_N_5_5,V10_CKI_N_5,-24.89073333,106.7784333,-23.975407,105.709946,0.9153266832714841,1.0684876212890657,148.52447508016067
V10_CKI_N_H_2_3_1,V10_CKI_N_H_2_3,-26.8176,109.1271,-24.925537,106.94076,1.8920628906249988,2.186342248535155,303.48575142928945
V10_CKI_N_H_2_3_2,V10_CKI_N_H_2_3,-26.8176,109.1271,-24.62843,106.5818,2.189170587158202,2.545297631835936,352.4961171411513
V10_CKI_N_H_2_3_3,V10_CKI_N_H_2_3,-26.8176,109.1271,-24.27366,106.17023,2.5439393402099597,2.9568729492187487,409.8644037666219
V10_CKI_N_H_5_12_1,V10_CKI_N_H_5_12,-19.23755,100.0747167,-21.842497,103.14206,2.6049468719482434,3.067342626171879,431.1414887840832
V10_CKI_N_H_5_12_2,V10_CKI_N_H_5_12,-19.23755,100.0747167,-19.962149,101.06894,0.7245986663818371,0.9942225089843788,131.67432354014224
V10_CKI_N_H_5_12_3,V10_CKI_N_H_5_12,-19.23755,100.0747167,-22.92681,104.24606,3.689259310913087,4.171346532421879,596.2261247417368
V10_CKI_U_2_1,V10_CKI_U_2,-27.41276667,109.8690333,-25.043009,107.03371,2.369757865678711,2.8353266349609356,386.51768081354226
V10_CKI_U_2_2,V10_CKI_U_2,-27.41276667,109.8690333,-25.313034,107.28789,2.0997326123828124,2.5811457267578106,347.31754118505404
V10_CKI_U_2_3,V10_CKI_U_2,-27.41276667,109.8690333,-23.82463,105.55876,3.5881359326953124,4.310271703320311,588.07491308044
V10_CKI_U_2_4,V10_CKI_U_2,-27.41276667,109.8690333,-24.38946,106.16519,3.0233070600146483,3.703841649609373,500.205124581862
V10_CKI_U_2_5,V10_CKI_U_2,-27.41276667,109.8690333,-24.620424,106.44619,2.792342399370117,3.4228434196289044,461.89653460871887
V10_CKI_U_8_1,V10_CKI_U_8,-22.32416667,103.7144667,-23.648336,105.33701,1.3241697405224606,1.6225465446289036,221.9567615725677
V10_CKI_U_8_2,V10_CKI_U_8,-22.32416667,103.7144667,-22.545082,103.89484,0.22091542228515593,0.18036972578124733,30.77461863119034
V10_CKI_U_8_3,V10_CKI_U_8,-22.32416667,103.7144667,-24.8244,106.80981,2.500233278120117,3.095340123730466,420.4503371480914
V10_CKI_U_8_4,V10_CKI_U_8,-22.32416667,103.7144667,-24.717136,106.59186,2.3929697130566403,2.8773912101562473,396.03581167841094
V10_CKI_U_8_5,V10_CKI_U_8,-22.32416667,103.7144667,-24.100388,105.82763,1.7762209032421872,2.113162389355466,292.63887882992765
